프로그램명,신청대상,프로그램 목표,프로그램 주요내용,프로그램 분류,학부,학적,학년,창의·혁신역량,자기주도적 학습역량,지식·정보·기술 활용역량,의사소통 역량,대인관계역량,세계시민역량,프로그램 목표_키워드,프로그램 주요내용_키워드
공기업 NCS 취업대비 교육 0712까지 선착순,학부KFL학부,공기업 취업 단기간 준비,"공기업 NCS 취업 준비반 모집 0712까지 선착순
 2023 하반기 공기업공공기관 채용을 대비하여 NCS 취업 교육을 아래와 같이 진행합니다
관심있는 분들의 많은 신청 바랍니다
 1 교육명  공기업 NCS 취업대비 교육 2주 완성
2 교육 기간  20230717월  0728금 10시13시 2주간3시간씩
3 교육 내용  공기업공공기관 설명회  문제풀이 영역별 특강  면접 특강 교재 별도 구입 상세 일정은 아래 표 참조
4 교육 방식  KAKAO TV 비공개 방을 통한 실시간 교육
  비공개 방 비밀번호는 추후 개별 안내
  종합정보시스템에 등록된 연락처로 안내 예정
 5 신청 대상  2023 하반기 공기업 취업을 희망하는 외대인 최대 100명 선착순
6 신청 기한  0712수 2359 까지 선착순
7 신청 방법  온라인 신청 해당 공고문 아래 신청 클릭
8 주의 사항
   교재는 별도 구입입니다
     아래 참조 수업 전까지 개별적으로 준비하여 주시기 바랍니다
   교육 기간 동안 참가가 확실한 학생만 신청하여 주시기 바랍니다
   무단 불참 시 향후 타 프로그램 참가에 제한이 있을 수 있습니다
     TO가 정해져 있는 프로그램입니다
 9 문의  글로벌캠퍼스 진로취업지원센터 윤재식 담당 0313304774 yjshufsackr
 10 기타  상세 교육 일정  활용 교재
   2023 단기 합격 해커스공기업 NCS 통합 기본서 직업기초능력평가직무수행능력평가 2023 최신판
   교재는 개별로 별도 구입하여 수업 전 미리 준비해주세요",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,50,0,0,0,"공기업, 준비, 단기간, 취업","직무수행능력평가, 직업기초능력평가, 3시간씩, 정해져, 영역별, 신청하여, 공공기관, 윤재식, 완성, 신청"
진취센과 함께 하는 도와줘 직장 적응 프로그램,학부KFL학부,"직장 적응 및 장기적인 경력 개발을 위하여 직업 가치관을 인식하고, 직장 스트레스에 보다 유연하게 대처할 수 있도록 한다."," 안녕하세요 진로취업지원센터글로벌입니다 
 취업만 하면 괜찮을 줄 알았는데 
내 일 회사와 내가 잘 맞지 않는걸까
나의 회사생활은 왜 이렇게 고통스럽지
나는 무엇을 위해 매일 출근하는 걸까
 월요일 출근길이 조금이라도 상쾌해지길 바라는 외대인 여러분들을 위해 진취센 쌤들이 강남역으로 찾아갑니다 
자세한 내용은 첨부 이미지 참고 부탁드리며 
궁금한 점은 전화 또는 이메일로 문의주시면 안내드리겠습니다
감사합니다
 일시  20230715토 14001800
장소  해시스 모임공간강남역 4번출구 인근
대상  직장 적응으로 고민 중인 외대인졸업생 포함 15명 
문의  진로취업지원센터글로벌 0313304958 또는 counselkarmaejhufsackr 
   ",진로취업프로그램활동형,단과대학 ,전체,전체,50,0,0,25,25,0,"인식하고, 장기적인, 가치관을, 대처할, 유연하게, 한다, 적응, 직장, 직업, 보다","안녕하세요, 문의주시면, 감사합니다, 출근하는, 내용은, 입니다, 강남역으로, 모임공간, 부탁드리며, 이미지"
소소하고 JOB多한 직무이야기 _ ep1해외영업,학부KFL학부,해외영업 직무 취업준비전략," 지난 겨울방학2023년 2월 23일에 진행된 강의내용과 동일합니다 
 7월 19일에 EP2 마케팅 직무 강의가 예정되어 있습니다 7월 10일부터 모집이 시작될 예정입니다  많은 관심 부탁드립니다 ",-,단과대학 ,재학 휴학 수료 비재학 졸업 ,1학년 2학년 3학년 4학년 5학년 6학년 ,0,50,25,25,0,0,"직무, 해외영업, 취업준비전략","동일합니다, 강의내용과, 부탁드립니다, 강의가, 지난, 모집이, 겨울방학, 2023년, 마케팅, 직무"
외대인을 위한 진로검사 주간,학부KFL학부,진로검사 실시 및 1:1 검사 해석을 통한 진로탐색,"  안녕하세요  진로취업지원센터글로벌입니다 
0717월  0721금 중 진로검사 11 해석 및 자기탐색 프로그램 외대인을 위한 진로검사 주간을 진행합니다 
 진로 관련 검사MBTI Form M STRONG 에니어그램 버크만 중 1종을 선택하여 실시하고 11 검사 해석을 진행하고자 합니다 
상담은 비대면으로 진행되며 검사별 상담 일정은 아래 내용을 참고하여 신청해주세요 
 기타 문의사항은 0313304958 또는 counselkarmaejhufsackr 로 연락주시면 안내드리겠습니다 
감사합니다 
 MBTI
0717월 10001050 11001150 13001350 14001450
0718화 13001350 14001450
0719수 10001050 11001150 13001350 14001450
0720목 13001350 14001450
 STRONG
0717월 13001350 14001450
0718화 13001350 14001450
0719수 10001050 11001150
0720목 10001050 11001150
 에니어그램
0720목 13001350 14001450
0721금 13001350 14001450
 버크만진단
0717월 10001050 11001150
0718화 10001050 11001150
0719수 13001350 14001450
0720목 13001350 14001450
0721금 10001050 11001150 13001350 14001450
 ",진로취업프로그램상담컨설팅형,단과대학 ,전체,전체,0,50,50,0,0,0,"진로탐색, 진로검사, 통한, 실시, 해석을, 검사","문의사항은, 연락주시면, 진행합니다, 안녕하세요, 버크만진단, 입니다, 선택하여, 진행하고자, 진로검사, 참고하여"
인턴 지원을 위한 자기소개서 작성법,학부KFL학부,인턴 지원을 위한 자기소개서 작성 기초의 이해, ,진로취업프로그램강의형,단과대학 ,전체,전체,0,50,25,25,0,0,"자기소개서, 기초의, 인턴, 작성, 지원을, 이해, 위한",
2023 하반기 공채대비 취업컨설팅 공기업반,-,취업준비생의 하반기 공채 대비," 2023년 하반기 공채대비 대기업반 및 공기업반 취업스터디
  추가모집중 신청마감연장 
첨부된 참가신청서 제출 후 참가신청 완료입니다 2023 7 7 목 1000 까지 업로드
1 교육목적  취업준비생의 하반기 공채 대비전 대기업 인사담당자이자 공기업 면접위원으로 활동 중인 강사를 통해 취업역량을 강화하고 실질적으로 공채 대비를 하고자 함
2 교육인원  총 15명 모집 후 선발 개별 통지 예정  2023 7 7 
3 교육장소  대면 서울캠퍼스 교수회관 세미나실강연실 
4 교육일정 및 내용
   공기업반   총 4회 15시간
  1회차  712수 13001600 3시간 교수회관 세미나실
 공기업의 채용동향 및 공기업의 채용시스템 NCS에 대한 이해 포함
1 공기업의 채용 및 채용트렌드 분석 특강 NCS 채용시스템 및 평가기준 전달
2 공기업의 이해  다양한 공기업의 차별화 된 채용시스템 및 프로세스 분석
3 개인별 보유소재 교육사항 자격사항 경력사항 등 확인 및 향후 취업 활용전략 수립
  2회차  719수 13001700 4시간 교수회관 강연실
 자기소개서 작성법 및 합격자기소개서 분석 공기업 합격자기소개서 파일 전달
1 공기업의 이력사항 및 자기소개서 작성법 특강
2 공기업 합격자기소개서 파일 분석 공기업 합격자기소개서 파일 10여개 전달
3 자기소개서 항목별 활용소재 결정 및 작성전략 확정
  3회차  89수 13001700 4시간 교수회관 강연실
 자기소개서 작성실습 및 개인별 첨삭
1 성장과정 작성 및 세부내용 첨삭 실시 피드백 및 고득점전략 제시
2 성격의 장단점 작성 및 세부내용 첨삭 실시 피드백 및 고득점전략 제시
3 지원동기 입사후 포부 작성 및 세부내용 첨삭 실시 피드백 및 고득점전략 제시
 개인별 지원예정 또는 희망기업이 있는 경우 해당 기업의 자기소개서 첨삭
  4회차  816수 13001700 4시간 교수회관 세미나실
 공기업 유형별 면접합격 전략 특강 및 모의면접 실시
1 공기업 유형별 면접합격 전략 특강 실시 직무 및 인성면접 PT면접 토론면접
2 1분 자기소개 작성 및 피드백 실시 면접질문 의도파악 및 모범답변 제시
3 모의면접 실시 및 개인별 세부 피드백 전달
   문의  서울캠퍼스 진로취업지원센터 정성주 0221732145",-,단과대학 ,전체,전체,0,25,25,25,25,0,"하반기, 대비, 공채, 취업준비생의","신청마감연장, 성장과정, 성격의, 참가신청서, 희망기업이, 공채대비, 참가신청, 합격자기소개서, 모의면접, 공기업의"
2023 하계방학 4차산업혁명 역량강화 프로그램,학부KFL학부,2023 하계방학 4차산업혁명 역량강화 프로그램 (파이썬/데이터리터러시/태블로/Swift(iOS)/JAVA),"IT 교육관련 전문 콘텐츠를 엄선하고 출석 및 진도관리 평가 체계를 더하여 수료 전과정에 학습 효과를 보장하도록 구성한 온라인 교육과정입니다
희망하는 과정 1개는 꼭 이수해주시고 나머지 과정은 자유롭게 수강하여 방학 동안 IT역량을 키우는 기회로 적극 활용하세요
  1 교육일정  20230717월0825금 약 6주간
 2 교육대상  우리 대학 재휴학생 및 졸업생 지역청년
 3 교육과정  파이썬  데이터리터러시SQL 구글시트  태블로 데이터분석 및 시각화  Swift iOS  JAVA 기초 총 5개 과정
 4 수강방법  기간 중 원하는 시간에 온라인 강좌 이수  지정 기한 내 중간 퀴즈 및 기말과제 제출
 5 신청방법  HUFSAbility에서 신청 신청 시 필수이수 1개 과정 기재 최대 583명 내 선착순  지난 1년 간 동 과정 이수자 및 관련 전공자 후순위 선발 지난 1년 간 동 과정 미수료자 최후순위 선발
 6 희망과정 이수조건  강의진도 80 이상 수강  중간퀴즈 40점 기말실습과제 60점 만점 중 60점 이상 취득 시
 7 세부 교육과정 정보
 입문자를 위한 파이썬 데이터분석  시각화  httpslearningspoonscomcoursedetailpythonbasic
 배민 사업개발팀 현업자 직강 SQL과 구글 시트로 배우는 데이터 리터러시 첫 걸음  httpslearningspoonscomcoursedetailsql_googlesheets
 태블로 데이터 분석 및 시각화  맞춤형 대시보드 설계부터 인사이트 도출까지  httpslearningspoonscomcoursedetailtableau_data_insight
 Swift로 쉽게 배우는 iOS 앱개발 기초  httpslearningspoonscomcoursedetailswift_iosapp
 20년차 개발자의 실무 개발 노하우를 담은 JAVA 기초  httpslearningspoonscomcoursedetailjava
 8 관련문의  진로취업지원센터 0221732234
  ",진로취업프로그램강의형,단과대학 ,전체,전체,50,0,50,0,0,0,"4차산업혁명, 2023, 데이터리터러시, java, swift, 파이썬, ios, 태블로, 프로그램, 하계방학","희망과정, 교육과정입니다, 교육과정, 강의진도, 활용하세요, 교육관련, 관련문의, 시각화, 전과정에, 진도관리"
2023 하반기 공채대비 취업컨설팅 대기업반,-,취업준비생의 하반기 공채 대비," 2023년 하반기 공채대비 대기업반 및 공기업반 취업스터디안
첨부된 참가신청서 제출 후 참가신청 완료입니다 2023 7 5 수 1300 까지 업로드
1 교육목적  취업준비생의 하반기 공채 대비전 대기업 인사담당자이자 공기업 면접위원으로 활동 중인 강사를 통해 취업역량을 강화하고 실질적으로 공채 대비를 하고자 함
2 교육인원  총 15명 모집 후 선발 개별 통지 예정  2023 7 7 
3 교육장소  대면 서울캠퍼스 교수회관 세미나실강연실 
4 교육일정 및 내용
   대기업반   총 4회 15시간
  1회차  710월 13001600 3시간 교수회관 세미나실
 대기업의 채용동향 및 채용시스템 업종과 직무에 대한 이해 포함
1 대기업의 채용트렌드 및 채용동향 분석 특강 채용시스템 및 채용 평가기준 전달
2 대기업의 이해  대기업의 업종과 직무에 대한 이해
3 개인별 보유소재 지식 기술 경험 등 확인 및 향후 취업시 활용전략 수립
  2회차  717월 13001700 4시간 교수회관 세미나실
 자기소개서 작성법 및 합격자기소개서 분석 대기업 합격자기소개서 파일 전달
1 대기업의 이력서 및 자기소개서 작성법 특강
2 대기업 합격자기소개서 파일 분석 대기업 합격자기소개서 파일 10여개 전달
3 자기소개서 항목별 활용소재 결정 및 작성전략 확정 특정항목 작성 실습 포함
  3회차  87월 13001700 4시간
 자기소개서 작성실습 및 개인별 첨삭 교수회관 강연실
1 성장과정 작성 및 세부내용 첨삭 실시 피드백 및 고득점전략 제시
2 성격의 장단점 작성 및 세부내용 첨삭 실시 피드백 및 고득점전략 제시
3 지원동기 입사후 포부 작성 및 세부내용 첨삭 실시 피드백 및 고득점전략 제시
 개인별 지원예정 또는 희망기업이 있는 경우 해당 기업의 자기소개서 첨삭
  4회차  814월 13001700 4시간 교수회관 강연실
 대기업 유형별 면접합격 전략 특강 및 모의면접 실시
1 대기업 유형별 면접합격 전략 특강 실시 직무 및 인성면접 PT면접 토론면접
2 1분 자기소개 작성 및 피드백 실시 면접예상질문 의도파악 및 모범답변 제시 포함
3 모의면접 실시 및 개인별 세부 피드백 전달
  문의  서울캠퍼스 진로취업지원센터 정성주 0221732145",-,단과대학 ,전체,전체,0,25,25,25,25,0,"하반기, 대비, 공채, 취업준비생의","성장과정, 성격의, 업종과, 공채대비, 희망기업이, 합격자기소개서, 참가신청서, 모의면접, 대기업반, 공기업반"
2023학년도 하계방학 취업캠프2박3일무료,학부KFL학부,"상반기 채용 트랜드, 1:1 자소서 첨삭, 현직자 모의 면접을 통한 취업 준비 종합 패키지","취준 2박3일 동안 한큐에 끝내자  취업 준비계의 AllInOne 케어
     취업캠프 진행 일정  75수  77금   2박 3일 
  참가 대상  3학년 이상 재학생 졸업 예정자 졸업 대기자 졸업생 중 미취업자
                  12학년도 신청은 가능  참가자 선발 우선순위에서는 밀릴 수 있음
   캠프 장소  교원그룹 교원비전센터주소  경기도 가평군 설악면 유명로 2182
   모집 마감  7월4일화 1300 까지
   문의사항   진로취업지원센터Tel 0313304041
         ",진로취업프로그램상담컨설팅형,단과대학 ,전체,전체,0,75,25,0,0,0,"면접을, 종합, 통한, 현직자, 상반기, 자소서, 패키지, 채용, 트랜드, 모의","2박3일, 3일, 대기자, 모집, 2학년도, 2박, 동안, 졸업생, 설악면, 신청은"
롯데 모의면접  코칭 참여 신청 안내,-,롯데인재개발원 모의면접 참여로 취업준비에 마침표를 찍어봅시다,"롯데 모의면접  코칭 참여 신청 안내 
 롯데그룹은 우수인재 확보의 일환으로 면접위원을 양성하고 있습니다 
취업준비생들에게 롯데 모의면접 경험을 제공하여 함께 롯데 면접위원을 양성하고자 합니다 
 본 모의면접은 롯데 뿐만 아니라 많은 기업기관의 채용에서 실시되는 CBI역량면접와 PT면접으로 진행이 될 예정이며
본 프로그램을 통해 학생들이 취업 준비에 도움이 되는 좋은 경험을 쌓을 수 있기를 바랍니다 
 1 지원자격  귀교 출신의 2024년 2월 졸업예정자 또는 기졸업자
2 신청기간 7월 20일목 0900 限 
3 신청방법
   가 첨부된 자기소개서 양식 작성개인정보제공동의서 포함
   나 본 페이지 하단의 분반신청  참여 가능한 일자 선택개인 일정 등 필히 고려
   다 신청 완료 후 작성한 자기소개서 파일 ppt파일 형태로 과제 제출 버튼 클릭하여 업로드미 업로드시 신청하지 않은 것으로 간주함
   라 신청 완료
  상세 안내 사항  본 모의면접은 롯데 채용 면접유형과 동일한 방식으로 진행됨실제 채용과 관계 없음
    목적 공정한 면접을 위한 롯데그룹 면접위원 교육과정 내 모의면접에 모의지원자로 실제 취업준비생을 초대하여 롯데그룹과 함께 면접역량을 향상하고 취업준비생의 취업을 응원하고 독려함
    복장 비즈니스 캐주얼
    일정 9월8일금 9월12일화 9월13일수 9월20일수 10월11일수 10월12일목 
            한 명의 중복 참여각기 다른 일자 가능 
            모의면접 지원자의 일정 변경 사례가 많아 예비지원자에게 기회가 돌아가는 경우가 많습니다 
             예비지원자의 경우 희망일정을 3개 정도 기재해 주시면 공석 발생 즉시 전화로 연락드릴 예정입니다 
    시간 09시 30분  18시 30분 종일 진행
    면접 롯데 채용에서 진행되는 면접역량면접 및 PT 면접을 반복 실시
    장소  롯데인재개발원 서울캠퍼스서울시 중구 남대문로 81 롯데빌딩 오피스동 25층
    특전  1 참가비 8만원 지급 중식 별도 제공
               2 모의면접 종료 후 지원자 개인별 면접 강약점 피드백 제공 서면 또는 면대면
    제출서류   개인정보 제공 동의서 및 자기소개서 1부 첨부파일
   문의  0221732499 진로취업지원센터",-,단과대학 ,전체,4학년 5학년 6학년 ,50,0,0,50,0,0,"모의면접, 마침표를, 참여로, 취업준비에, 찍어봅시다, 롯데인재개발원","면접유형과, 개인정보제공동의서, 모의면접은, 모의면접에, 희망일정을, 모의면접, 분반신청, 교육과정, 기관의, 신청기간"
여름방학을 대비하는 나만의 진로 계획 수립,학부KFL학부,학생들의 여름방학 내 진로 관련 게획 수립 및 1:1 상담을 통해 진로컨설팅 제공,"프로그램 주요내용
1 관심 분야 파악 및 진로 탐색
2 취업 희망 분야의 직무 이해
3 방학 중 진로 계획 수립",진로취업프로그램상담컨설팅형,단과대학 ,재학 휴학 ,1학년 2학년 3학년 ,25,50,25,0,0,0,"진로컨설팅, 여름방학, 수립, 학생들의, 통해, 제공, 관련, 진로, 상담을, 게획","직무, 주요내용, 수립, 프로그램, 방학, 진로, 희망, 파악, 탐색, 이해"
HUFSCAP 취업준비 워크숍,학부KFL학부,자기탐색과 직무탐색 그리고 실습을 통한 구직기술 향상,"취업 준비 시작 혼자 말고 같이 하면 훨씬 쉽습니다
 소규모로 진행되는 참여형 프로그램으로 
 3일 과정 모두 필참 독려
 일정 참여 관련 궁금한 점은 문의 주세요
 프로그램 문의
전화 0313304686
메일 jobhunter1hufsackr
  ",진로취업프로그램활동형,단과대학 ,전체,전체,0,25,25,25,25,0,"구직기술, 자기탐색과, 실습을, 직무탐색, 통한, 그리고, 향상","jobhunter1, 과정, 참여형, 일정, 궁금한, 훨씬, 전화, 시작, hufs, 메일"
한국산업인력공단 KOTRA 연계 해외 취업 설명회,-,권역별/분야별 해외취업 설명회 참여,"한국산업인력공단 주관 해외 취업 설명회 참석 안내 
 1 일시  627화 14시16시 
2 장소  경희대 국제캠퍼스영통 중앙도서관 3층 피스홀 
3 참가신청  HUFSAbility 신청 후 포스터의 QR 이용하여 신청반드시 HUFSAbility로 사전 신청 
4 프로그램붙임 파일 참조 
  가 권역별지역별 해외취업전략 소개 
  나 해외취업특강이력서 작성 면접
  다 지역별78개국 전담직원 11 상담 
  라 KOTRA 해외무역관 연사 영국 베트남 뉴질랜드 일본 취업 환경 소개 
5 글로벌캠퍼스에서 왕복버스 제공 예정참가자 수에 따라 변동 될 수 있음
6 문의  0313304042 head312hufsackr
    ",-,단과대학 ,전체,전체,50,0,25,25,0,0,"권역별, 참여, 설명회, 분야별, 해외취업","hufsability로, hufsability, 한국산업인력공단, 중앙도서관, 글로벌캠퍼스에서, hufs, 경희대, 왕복버스, 이용하여, 환경"
릴레이취업특강4 외국계 기업 취업 링크드인 활용법 실습심화,학부KFL학부,"1)알짜배기 외국계 기업 찾기, 2)외국계 기업 취업 플랫폼 사용법","릴레이취업특강 3회차 외국계 기업 취업 특강 링크드인 활용법
 1학기 중 진행한 릴레이 취업특강에서 가장 내용이 알차고 학생들에게 도움이 되었던 강의 주제와 강사진을 엄선하여 다시 돌아왔습니다
난이도를 기초와 심화로 나누어 본인에게 필요한 강의를 기초와 심화 중에 선택하여 수강할 수 있도록 보완했습니다 
하계방학을 취업특강으로 알차게 시작해보세요
 1 날짜  6월 29일목 아침 1000  1200
2 강의방법   Zoom으로 진행
3 내용  
 왜 링크드인인가
 링크드인 스마트한 활용법주요기능 활용법
 링크드인 필수 세팅 5가지 
 링크드인 활용 취업 성공사례
 링크드인 활용 실습
  신청자 한해서 특강 전날이나 당일 오전에 접속 URL 발송해 드립니다
 신청자 중 접속링크를 특강 당일까지 못받은 학생은 07047053886으로 연락엘리트코리아 교육사업팀
 교육 기간 동안 참가가 확실한 학생만 신청하여 주시기 바랍니다 무단 불참 시 향후 타 프로그램 참가에 제한이 있을 수 있습니다
           ",진로취업프로그램강의형,단과대학 ,전체,전체,0,100,0,0,0,0,"사용법, 기업, 플랫폼, 취업, 찾기, 외국계, 알짜배기","신청하여, 강의방법, 신청자, 기초와, 엄선하여, 링크드인인가, 진행한, 시작해보세요, 선택하여, 활용법"
릴레이취업특강2 취업을 위한 산업기업분석 실전 활용심화,학부KFL학부,1)자기분석과 산업분석 2)DART등을 이용한 기업분석 노하우 3)재무제표 활용한 기업분석,"릴레이취업특강 2회차 산업기업 분석 특강 실전 활용하기심화
 1학기 중 진행한 릴레이 취업특강에서 가장 내용이 알차고 학생들에게 도움이 되었던 강의 주제와 강사진을 엄선하여 다시 돌아왔습니다
난이도를 기초와 심화로 나누어 본인에게 필요한 강의를 기초와 심화 중에 선택하여 수강할 수 있도록 보완했습니다 
하계방학을 취업특강으로 알차게 시작해보세요
 1 날짜  6월 27일화 아침 1000  1200
2 강의방법   Zoom으로 진행
3 내용  
 DART공시 보는 방법
 재무제표 분석하기필요한 데이터만 골라내기
 웹 DART 재무제표 활용하여 기업 분석하기 
 자기소개서 작성시 활용법
 취업 후에도 긍정적으로 자기브랜딩 하는 방법
  신청자 한해서 특강 전날이나 당일 오전에 접속 URL 발송해 드립니다
 신청자 중 접속링크를 특강 당일까지 못받은 학생은 07047053886으로 연락엘리트코리아 교육사업팀
 교육 기간 동안 참가가 확실한 학생만 신청하여 주시기 바랍니다 무단 불참 시 향후 타 프로그램 참가에 제한이 있을 수 있습니다
           ",진로취업프로그램강의형,단과대학 ,전체,전체,0,100,0,0,0,0,"dart등을, 산업분석, 기업분석, 이용한, 자기분석과, 활용한, 재무제표, 노하우","신청하여, 활용하기, 활용하여, 신청자, 진행한, 분석하기, 선택하여, 엄선하여, 강의방법, 확실한"
릴레이취업특강1 취업을 위한 산업기업분석 노하우기초,학부KFL학부,1)자기분석과 산업분석 2)DART등을 이용한 기업분석 노하우 3)재무제표 활용한 기업분석,"릴레이취업특강 1회차 산업기업 분석 특강 산업분석 방법 이해하기기초
 1학기 중 진행한 릴레이 취업특강에서 가장 내용이 알차고 학생들에게 도움이 되었던 강의 주제와 강사진을 엄선하여 다시 돌아왔습니다
난이도를 기초와 심화로 나누어 본인에게 필요한 강의를 기초와 심화 중에 선택하여 수강할 수 있도록 보완했습니다 
하계방학을 취업특강으로 알차게 시작해보세요
 1 날짜  6월 26일월 아침 1000  1200
2 강의방법   Zoom으로 진행
3 내용  
 자기분석의 이유 및 방법
 산업분석 방법 이해하기PEST 5FORCES
 웹으로 기업 분석하기 
 시간관리 이야기찰스슈왑의 이야기
  신청자 한해서 특강 전날이나 당일 오전에 접속 URL 발송해 드립니다
 신청자 중 접속링크를 특강 당일까지 못받은 학생은 07047053886으로 연락엘리트코리아 교육사업팀
 교육 기간 동안 참가가 확실한 학생만 신청하여 주시기 바랍니다 무단 불참 시 향후 타 프로그램 참가에 제한이 있을 수 있습니다
           ",진로취업프로그램강의형,단과대학 ,전체,전체,0,100,0,0,0,0,"dart등을, 산업분석, 기업분석, 이용한, 자기분석과, 활용한, 재무제표, 노하우","신청하여, 자기분석의, 신청자, 찰스슈왑의, 강의방법, 산업분석, 분석하기, 기초와, 시작해보세요, 선택하여"
릴레이취업특강3 외국계 기업 취업 알짜배기 외국계 기업 찾기기초,학부KFL학부,"1)알짜배기 외국계 기업 찾기, 2)외국계 기업 취업 플랫폼 사용법","릴레이취업특강 3회차 외국계 기업 취업 특강 알짜배기 외국계 기업 찾기 
 1학기 중 진행한 릴레이 취업특강에서 가장 내용이 알차고 학생들에게 도움이 되었던 강의 주제와 강사진을 엄선하여 다시 돌아왔습니다
난이도를 기초와 심화로 나누어 본인에게 필요한 강의를 기초와 심화 중에 선택하여 수강할 수 있도록 보완했습니다 
하계방학을 취업특강으로 알차게 시작해보세요
 1 날짜  6월 28일수 아침 1000  1200
2 강의방법   Zoom으로 진행
3 내용  
 Power Hidden Company 란
 왜 Power Hidden Company 를 노려야 하는가
 Power Hidden Company 찾기 5단계 
 대표적 글로벌 외국계 기업 취업 플랫폼 소개
 업종별 대표 Power Hidden Company
  신청자 한해서 특강 전날이나 당일 오전에 접속 URL 발송해 드립니다
 신청자 중 접속링크를 특강 당일까지 못받은 학생은 07047053886으로 연락엘리트코리아 교육사업팀
 교육 기간 동안 참가가 확실한 학생만 신청하여 주시기 바랍니다 무단 불참 시 향후 타 프로그램 참가에 제한이 있을 수 있습니다
           ",진로취업프로그램강의형,단과대학 ,전체,전체,0,100,0,0,0,0,"사용법, 기업, 플랫폼, 취업, 찾기, 외국계, 알짜배기","신청하여, 신청자, 강의방법, 진행한, 엄선하여, 선택하여, 기초와, 확실한, 시작해보세요, 학생들에게"
면접불안 DOWN 면접실력 UP,학부KFL학부,"면접 불안을 이해하고, 실전 적용 노하우에 대해 알 수 있습니다."," 안녕하세요 
컨설턴트와 상담심리사가 함께 하는 면접불안 DOWN 면접실력 UP 프로그램입니다 
각종 면접 상황에서 내적 동공지진을 경험해 본 외대인을 위해 준비했습니다 
식은 땀 손발 떨림과 같은 신체 증상 무슨 말을 해야 할지 머리가 새하얘지거나 아무 말 대잔치 말이 제어가 안 되는 증상 등등
면접 및 발표 등 나를 드러내는 상황에서 경험하는 불안을 잘 이해하여 대처하고 싶은
면접 시 어떻게 하면 보다 나를 더 잘 알릴 수 있을지 그 노하우를 알고 싶은 
고학년 및 졸업유예 졸업생 분들의 많은 관심과 신청 부탁드릷니다 
 본 프로그램은 대면으로 진행합니다
아래 포스터에서 일정 확인 후2회차 모두 참여 가능한 분들의 신청 바랍니다 양일 모두 참여가 어려운 경우 문의주세요
 기타 프로그램 관련 문의 사항은 글로벌캠퍼스 진로취업지원센터로 연락 주시면 안내 드리겠습니다 
감사합니다 
 0313304989  solbihufsackr 
  ",진로취업프로그램활동형,단과대학 대학원 ,전체,전체,25,50,25,0,0,0,"면접, 이해하고, 실전, 적용, 노하우에, 대해, 불안을, 있습니다","상황에서, 면접실력, 동공지진을, 면접불안, 신청, 컨설턴트와, 안녕하세요, 진행합니다, 문의주세요, 면접"
외국계 기업 현직자 토크 콘서트DAY1  영문이력서 영업마케팅 직무이해,학부KFL학부,산업 및 실무에 대한 실전정보 제공, ,진로취업프로그램강의형,단과대학 ,전체,전체,50,25,25,0,0,0,"실전정보, 산업, 제공, 실무에, 대한",
외국계 기업 직무적합성 분석 특강DAY2  네슬레,학부KFL학부,적합성 중심의 지원서 작성을 통해 서류 합격률 상승," 1 외국계 기업 농심 켈로그와 네슬레의 Open Position에 대한 기업 직무 적합성 분석
2 실제 직무에 대한 이해를 바탕으로 서류와 면접 준까지 One Point Lesson을 진행합니다 ",-,단과대학 ,전체,전체,50,0,0,25,25,0,"적합성, 작성을, 상승, 중심의, 통해, 합격률, 지원서, 서류","lesson을, position에, 적합성, 면접, 진행합니다, 이해를, 바탕으로, 서류와, 기업, 켈로그와"
외국계 기업 직무적합성 분석 특강DAY1  켈로그,학부KFL학부,적합성 중심의 지원서 작성을 통해 서류 합격률 상승," 1 외국계 기업 농심 켈로그와 네슬레의 Open Position에 대한 기업 직무 적합성 분석
2 실제 직무에 대한 이해를 바탕으로 서류와 면접 준까지 One Point Lesson을 진행합니다 ",진로취업프로그램활동형,단과대학 ,전체,전체,50,0,0,25,25,0,"적합성, 작성을, 상승, 중심의, 통해, 합격률, 지원서, 서류","lesson을, position에, 적합성, 면접, 진행합니다, 이해를, 바탕으로, 서류와, 기업, 켈로그와"
외국계 기업 현직자 토크 콘서트DAY2  동문선배의 입사스토리 경력관리,학부KFL학부,산업 및 실무에 대한 실전정보 제공, ,진로취업프로그램강의형,단과대학 ,전체,전체,50,25,25,0,0,0,"실전정보, 산업, 제공, 실무에, 대한",
국민취업지원제도 11 출장 상담 안내,학부KFL학부,월 50만원씩 지원받고 구직활동 할 수 있을까?,"몰라서 못받는 지원금이 없도록 국민취업지원제도 전문가가 11로 상담해줍니다 
 30분만 투자하셔서 상담 받으시고  구직촉진수당 취업활동비 등 구직활동에 도움이 되는 여러가지 지원금을 받을수 있는지 없는지 확인해보세요 
글로벌캠퍼스에서 실시되는 11 대면 상담 입니다 
 자세한 내용은 아래 포스터를 확인해주세요
 문의031 3304042
  ",진로취업프로그램상담컨설팅형,단과대학 ,전체,전체,25,50,25,0,0,0,"50만원씩, 구직활동, 지원받고, 있을까","구직촉진수당, 확인해주세요, 확인해보세요, 구직활동에, 여러가지, 투자하셔서, 상담해줍니다, 전문가가, 내용은, 글로벌캠퍼스에서"
