프로그램명,프로그램 분류,신청대상,프로그램 목표,프로그램 주요내용,학부,학적,학년,지식·정보·기술 활용역량,자기주도적 학습역량,창의·혁신역량,의사소통 역량,대인관계역량,세계시민역량,프로그램 목표_키워드,프로그램 주요내용_키워드
불가리아의 문자 교육 및 문화의 날 행사,-,국제지역대학그리스.불가리아학과,"불가리아의 문자, 교육 및 문화의 날을 축하하며 불가리아 문화를 이해한다.","불가리아의 문자 교육 및 문화의 날 행사
   시간 5월 24일 수요일 13시부터 15시까지 
  장소 어문관 206호
  행사 순서
1 인사말
2 불가리아 문자 교육 및 문화의 날이란
3 귀국 보고회
4 카드 뉴스 콘테스트 참여 학생 발표
5 번역 대회 참여 학생 발표
6 시상식
 이번 행사에서는 콘테스트 시상식과 저번 학기 71 프로그램에 참여한 학생들의 생생한 후기를 들을 수 있는 귀국 보고회가 함께 있을 예정입니다
불가리아학 전공자는 되도록이면 행사에 참여해서 많은 정보 얻어 가시길 바랍니다
 ",단과대학 ,전체,전체,25,0,0,25,0,50,"불가리아의, 이해한다, 문화의, 문자, 문화를, 축하하며, 불가리아, 날을, 교육","시상식과, 학생들의, 어문관, 생생한, 불가리아의, 번역, 문화의, 시상식, 행사에서는, 불가리아학"
HUFS English Writing Tutoring 5월 5주차 52964,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,"    20231학기 HUFS ENGLISH Writing Tutoring
  튜터링 분야 
 수강과목과 연계된 영어 글쓰기 보고서 발표문 등
 학술적 글쓰기 학술지 논문 초록 등
 그 외 영문 자기소개서 이력서 일기 등 주제 및 형식 무관
 초급자 환영
  진행 방법  50분간 실시간 온라인 11 튜터링
  신청 방법  HUFSAbility 로그인  HUFS Writing Tutoring
 실시간 튜터링 분반정보 확인  주차별 가능한 스케줄 신청
 글쓰기 공유 신청내역과제란에 글쓰기 파일 업로드 필수
   유의사항 신청 전 꼭 읽어주세요
  당일 신청은 불가합니다 신청은 튜터링 진행일 최소 48시간 전까지는 완료해주시기 바랍니다
  첨삭을 원하는 파일과제은 튜터링 진행 시간 48시간 전 제출해야합니다
미제출 또는 튜터링 시간에 임박하여 제출 시 불합격 상태로 전환되어 튜터링 진행이 어려우니 신청내역 페이지를 확인하여 주시기 바랍니다 
HUFSAbility 비교과프로그램 신청내역 과제제출란에 업로드
  신청시 입력사항 프로그램 참여시 중점적으로 튜터링을 받고 싶은 점 eg 문법적인 부분 내용적인 첨삭 등에 대해 사전에 작성해주시기 바랍니다
  신청 후 담당 튜터 선생님 확인 후 합격 상태가 되어야 과제 제출란이 활성화됩니다
수일 이내로 확인할 예정이오니 반드시 신청 후 과제 제출란에 첨삭물을 제출하여 주시기 바랍니다 
  코로나 상황으로 온라인을 통한 실시간 튜터링을 원칙으로 합니다
신청자에게는 따로 이메일학교에 등록되어 있는 메일 주소 또는 문자로 안내 연락이 갈 예정입니다 
  신청 취소는 최소 하루 전까지만 가능합니다 
  노쇼 발생 시 차후 교내에서 진행하는 비교과 프로그램 참여가 불가합니다 HUFSAbility 비교과 프로그램 신청 제한 
참여하지 못할 경우 반드시 사전에 알려주시기 바랍니다
    프로그램 안내 및 취소 문의  교수학습개발부 0221732761",단과대학 대학원 ,재학 휴학 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의","완료해주시기, 유의사항, 작성해주시기, 신청자에게는, 내용적인, 튜터링을, 상황으로, 수강과목과, 신청은, 과제제출란에"
특교원 20231학기 태국어과 현지 지역전문가 특강,교육특강,학부KFL학부,태국어과 졸업생 선배님들의 특강을 통한 진로 탐색 및 설정,"오는 524수 오후 7시에 태국어과 동문 특강이 온오프라인으로 동시에 진행됩니다
일시 2023년 5월 24일수 19002100
장소 본관 329호
강연자 김신형 동문태국어 04 대웅제약 글로벌비즈니스팀 배찬영 동문태국어 14 네이버웹툰
 ",단과대학 ,전체,전체,50,50,0,0,0,0,"졸업생, 특강을, 설정, 태국어과, 선배님들의, 통한, 탐색, 진로","배찬영, 동문, 태국어과, 동시에, 특강이, 강연자, 24일, 오프라인으로, 장소, 본관"
특교원 231학기 헝가리어과 졸업생 취업 특강,교육특강,학부헝가리어과,헝가리어과 졸업생으로서 삼성 전자 취업에 관한 설명 및 질문에 대한 답변을 통해 후배들을 독려하며 학과 내 소속감과 유대감을 증진시킨다.,헝가리어과 졸업생의 삼성 전자 취업에 관한 설명 및 질문 답변,단과대학 ,전체,전체,50,50,0,0,0,0,"증진시킨다, 졸업생으로서, 헝가리어과, 설명, 독려하며, 소속감과, 유대감을, 답변을, 통해, 삼성","졸업생의, 설명, 헝가리어과, 답변, 전자, 삼성, 관한, 질문, 취업에"
심리특강 뇌 머릿속 시계뇌과학이 알려주는 시간관리 노하우,교육특강,학부KFL학부법학전문대학원대학원학습자설계융합전공융합전공경영대학원통번역대학원교육대학원정치행정언론대학원국제지역대학원,뇌과학을 기반으로 한 시간 관리법에 대해 알 수 있다., ,전체,재학 휴학 수료 ,전체,0,50,50,0,0,0,"관리법에, 기반으로, 시간, 대해, 있다, 뇌과학을",
HUFS English Writing Tutoring 5월 4주차 522528,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,"    20231학기 HUFS ENGLISH Writing Tutoring
  튜터링 분야 
 수강과목과 연계된 영어 글쓰기 보고서 발표문 등
 학술적 글쓰기 학술지 논문 초록 등
 그 외 영문 자기소개서 이력서 일기 등 주제 및 형식 무관
 초급자 환영
  진행 방법  50분간 실시간 온라인 11 튜터링
  신청 방법  HUFSAbility 로그인  HUFS Writing Tutoring
 실시간 튜터링 분반정보 확인  주차별 가능한 스케줄 신청
 글쓰기 공유 신청내역과제란에 글쓰기 파일 업로드 필수
   유의사항 신청 전 꼭 읽어주세요
  당일 신청은 불가합니다 신청은 튜터링 진행일 최소 48시간 전까지는 완료해주시기 바랍니다
  첨삭을 원하는 파일과제은 튜터링 진행 시간 48시간 전 제출해야합니다
미제출 또는 튜터링 시간에 임박하여 제출 시 불합격 상태로 전환되어 튜터링 진행이 어려우니 신청내역 페이지를 확인하여 주시기 바랍니다 
HUFSAbility 비교과프로그램 신청내역 과제제출란에 업로드
  신청시 입력사항 프로그램 참여시 중점적으로 튜터링을 받고 싶은 점 eg 문법적인 부분 내용적인 첨삭 등에 대해 사전에 작성해주시기 바랍니다
  신청 후 담당 튜터 선생님 확인 후 합격 상태가 되어야 과제 제출란이 활성화됩니다
수일 이내로 확인할 예정이오니 반드시 신청 후 과제 제출란에 첨삭물을 제출하여 주시기 바랍니다 
  코로나 상황으로 온라인을 통한 실시간 튜터링을 원칙으로 합니다
신청자에게는 따로 이메일학교에 등록되어 있는 메일 주소 또는 문자로 안내 연락이 갈 예정입니다 
  신청 취소는 최소 하루 전까지만 가능합니다 
  노쇼 발생 시 차후 교내에서 진행하는 비교과 프로그램 참여가 불가합니다 HUFSAbility 비교과 프로그램 신청 제한 
참여하지 못할 경우 반드시 사전에 알려주시기 바랍니다
    프로그램 안내 및 취소 문의  교수학습개발부 0221732761",단과대학 대학원 ,재학 휴학 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의","완료해주시기, 유의사항, 작성해주시기, 신청자에게는, 내용적인, 튜터링을, 상황으로, 수강과목과, 신청은, 과제제출란에"
자살예방 게이트키퍼 양성교육 1학기 생명지킴이 교육 신청522월 13001400,교육특강,학부KFL학부,주변의 위기 학생에게 적절한 도움을 줄 수 있도록 자살예방 게이트키퍼 교육인 생명지킴이교육을 실시하고자 함.,"학생상담센터에서는 자살예방을 위한 게이트키퍼를 양성하는 생명지킴이 교육을 실시하고자 합니다
참여한 모든 여러분에게는 수료증용인시 자살예방센터과 맘스터치싸이버거 단품이 지급될 예정입니다
관심 있는 학생 여러분의 많은 참여 부탁드립니다 
  일시  522월 13001400
 방법  백년관 310호
 대상  관심있는재학생 누구나 선착순 20명
  ",단과대학 ,재학 휴학 수료 비재학 ,전체,0,25,25,0,25,25,"생명지킴이교육을, 실시하고자, 학생에게, 게이트키퍼, 적절한, 교육인, 주변의, 도움을, 자살예방, 있도록","학생상담센터에서는, 여러분의, 백년관, 선착순, 용인시, 실시하고자, 부탁드립니다, 맘스터치, 여러분에게는, 싸이버거"
20231 네덜란드어과 현지 지역 전문가 특강,교육특강,학부네덜란드어과,네덜란드어과 전공생에게 특수외국어 학습에 대한 목표 의식과 동기부여 제공,"네덜란드어과의 동문 선배님이신 김성연 선배님을 모시고 특강을 진행
 특강은 1시간 30분 정도 대면으로 328호에서 진행되며 네덜란드를 대표하는 작품 및 화가에 대해 알아보는 강연과 QA로 나누어 진행할 예정임",단과대학 ,전체,전체,50,50,0,0,0,0,"전공생에게, 동기부여, 의식과, 네덜란드어과, 제공, 학습에, 목표, 대한, 특수외국어","네덜란드어과의, 강연과, 선배님이신, 진행, 진행할, 선배님을, 대표하는, 대면으로, 328호에서, 특강은"
HUFS English Writing Tutoring 5월 3주차 515521,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,"    20231학기 HUFS ENGLISH Writing Tutoring
  튜터링 분야 
 수강과목과 연계된 영어 글쓰기 보고서 발표문 등
 학술적 글쓰기 학술지 논문 초록 등
 그 외 영문 자기소개서 이력서 일기 등 주제 및 형식 무관
 초급자 환영
  진행 방법  50분간 실시간 온라인 11 튜터링
  신청 방법  HUFSAbility 로그인  HUFS Writing Tutoring
 실시간 튜터링 분반정보 확인  주차별 가능한 스케줄 신청
 글쓰기 공유 신청내역과제란에 글쓰기 파일 업로드 필수
   유의사항 신청 전 꼭 읽어주세요
  당일 신청은 불가합니다 신청은 튜터링 진행일 최소 48시간 전까지는 완료해주시기 바랍니다
  첨삭을 원하는 파일과제은 튜터링 진행 시간 48시간 전 제출해야합니다
미제출 또는 튜터링 시간에 임박하여 제출 시 불합격 상태로 전환되어 튜터링 진행이 어려우니 신청내역 페이지를 확인하여 주시기 바랍니다 
HUFSAbility 비교과프로그램 신청내역 과제제출란에 업로드
  신청시 입력사항 프로그램 참여시 중점적으로 튜터링을 받고 싶은 점 eg 문법적인 부분 내용적인 첨삭 등에 대해 사전에 작성해주시기 바랍니다
  신청 후 담당 튜터 선생님 확인 후 합격 상태가 되어야 과제 제출란이 활성화됩니다
수일 이내로 확인할 예정이오니 반드시 신청 후 과제 제출란에 첨삭물을 제출하여 주시기 바랍니다 
  코로나 상황으로 온라인을 통한 실시간 튜터링을 원칙으로 합니다
신청자에게는 따로 이메일학교에 등록되어 있는 메일 주소 또는 문자로 안내 연락이 갈 예정입니다 
  신청 취소는 최소 하루 전까지만 가능합니다 
  노쇼 발생 시 차후 교내에서 진행하는 비교과 프로그램 참여가 불가합니다 HUFSAbility 비교과 프로그램 신청 제한 
참여하지 못할 경우 반드시 사전에 알려주시기 바랍니다
    프로그램 안내 및 취소 문의  교수학습개발부 0221732761",단과대학 대학원 ,재학 휴학 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의","완료해주시기, 유의사항, 작성해주시기, 신청자에게는, 내용적인, 튜터링을, 상황으로, 수강과목과, 신청은, 과제제출란에"
언어 데이터와 인공지능의 미래,교육특강,학부KFL학부,언어 데이터와 인공지능의 미래,"격변하는 4차 산업혁명 시대에는 넘쳐나는 정보의 홍수 속 Chat GPT 등
인공지능을 잘 활용해야한다 이번 특강에서는 인공지능 중에서도 언어
데이터를 활용한 인공지능에 대해 소개하였다 특히 융합인재학부 학생들이
융합인재학부의 커리큘럼 통번역모듈ICTAI세부모듈을 활용하여 언어
데이터인공지능 전문가가 될 수 있다는 미래의 길을 제시해 주었다",단과대학 ,전체,전체,50,50,0,0,0,0,"인공지능의, 데이터와, 미래, 언어","융합인재학부의, 인공지능을, 인공지능, 인공지능에, 특강에서는, 산업혁명, 통번역모듈, 융합인재학부, 미래의, 시대에는"
2023 상반기 금융공기업 취업 모의면접,교육특강,학부KFL학부,"상반기 금융공기업 취업 인성면접, PT면접 대비","     필독
 실제 채용전형 진행 중인 대상자 신청 바랍니다
  각 조 3명으로 소규모 모의면접 프로그램입니다 
신청 전에 개인 스케줄 확인 바랍니다 
 신청 후 불참 시 다른 친구들의 기회가 사라집니다
물론 신청 후 최종합격으로 불참은 축하드립니다
연락만 주시면 대기자에게 기회를  
  문의  0221732145 ",단과대학 ,전체,전체,25,50,0,25,0,0,"금융공기업, 인성면접, pt면접, 상반기, 대비, 취업","친구들의, 모의면접, 축하드립니다, 신청, 프로그램입니다, 채용전형, 사라집니다, 주시면, 문의, 진행"
HUFStory 도서관 북토크  이창위 교수,-,학부KFL학부,"외대 교수, 동문 저자와의 양방향 북토크를 통해 독서 흥미를 고취하고, 작가와 도서, 연관 지식 정보에 대한 분석적 독서 활동을 할 수 있다.","1 행사명  제4회 HUFStory 도서관 북토크
 2 연사  서울시립대 법학전문대학원 이창위 교수
 3 일시  5월 24일 수요일 1500  1630
 4 장소  한국외국어대학교 서울캠퍼스 도서관 로비 라운지
 5 주제  국제법과 국제정치로 본 한일관계사
 6 진행일정
   사전신청 접수  5월 15일 월요일  5월 13일 화요일
   북토크 및 질의응답 친필 저서 증정 이벤트 기념촬영 및 폐회로 진행됩니다
 7 비교과 프로그램 수료 관련
   공간에 따라 현장 참여가 가능하며 참여 명단에 서명한 경우에 한하여 비교과 프로그램 수료로 인정됩니다
   이외 로비 공간에서 자유로운 참여가 가능하지만 참여 명단에 서명하지 않은 경우에는 비교과 프로그램 수료로는 인정되지 않습니다
   좌석은 사전신청 여부 및 당일 입장 순서를 우선하되 자율 배석입니다
 8 문의  0221732467 또는 dysonghufsackr
 ",단과대학 ,전체,전체,25,0,0,25,25,25,"저자와의, 분석적, 동문, 활동을, 북토크를, 정보에, 통해, 독서, 연관, 작가와","진행일정, 사전신청, 국제정치로, 국제법과, 서명하지, 법학전문대학원, 서울캠퍼스, 기념촬영, 서명한, 질의응답"
51부터 접수시작 2023 상반기 금융공기업 취업 모의면접,교육특강,학부KFL학부,"상반기 금융공기업 취업 인성면접, PT면접 대비","       실제 채용전형 진행 중인 대상자 신청 바랍니다
  각 조 3명으로 소규모 모의면접 프로그램입니다 
신청 전에 개인 스케줄 확인 바랍니다 
 신청 후 불참 시 다른 친구들의 기회가 사라집니다
물론 신청 후 최종합격으로 불참은 축하드립니다
연락만 주시면 대기자에게 기회를  
  문의  0221732145 ",단과대학 ,전체,전체,25,50,0,25,0,0,"금융공기업, 인성면접, pt면접, 상반기, 대비, 취업","신청, 친구들의, 축하드립니다, 모의면접, 사라집니다, 프로그램입니다, 주시면, 바랍니다, 채용전형, 불참은"
불가리아학 특강 한국인들에게 불가리아란,교육특강,그리스.불가리아학과KFL학부,"불가리안로즈코리아(주) 대표님의 강의를 통해 한국에서의 불가리아를 화장품을 중심으로 분석하며, 한-불 사업을 살펴본다."," 불가리아 전공 특강 안내 
  강의 제목 한국인들에게 불가리아란
 강사 백선숙 불가리안로즈코리아 주 대표
  강의 내용
1 한국 시장에서의 불가리아 제품들 화장품을 중심으로
2 불가리아와 사업을 진행하는 방법
  장소 및 시간
장소 교양관 412호
시간 2023년 5월 4일 목요일 13시 56교시
 신청방법  Hufsability를 통해 신청
  관련 문의 kkhhbb368navercom",단과대학 ,전체,전체,0,50,0,25,0,25,"불가리안로즈코리아, 중심으로, 강의를, 한국에서의, 분석하며, 화장품을, 살펴본다, 통해, 사업을, 불가리아를","시장에서의, 불가리안로즈코리아, 강의, 불가리아와, 신청, 전공, 백선숙, 화장품을, 중심으로, 목요일"
졸업생 특강 SK임업 환경 에너지 분야,-,EU전공EU전공,졸업생 취업 특강,"ESG환경 관련 업무 전반 소개
NGO연구소대기업 취업에 관한 안내
면접자소서 작성 팁
 ",단과대학 ,전체,전체,0,25,50,0,25,0,"졸업생, 특강, 취업","ngo연구소, esg, 면접, 환경, 관련, 작성, 관한, 자소서, 소개, 대기업"
특교원 231 말레이인도네시아어과 현지 지역 전문가 특강,-,말레이.인도네시아어과말레이.인도네시아어과,현 마인어과 박사님 특강을 통한 말레이 세계 종교와 미디어의 이해,"현 마인어과 박사님 특강을 통한 말레이 세계 종교와 미디어의 이해

  신지원 박사님
 한국외대 동남아연구소 위촉 연구원
 한국외대 국제지역대학원 인도아세안 학과 박사 학위 취득
  인도네시아 방송 시장 및 금융 시장 조사 등과 다수 프로젝트 참여",단과대학 ,전체,전체,50,50,0,0,0,0,"미디어의, 마인어과, 말레이, 종교와, 특강을, 이해, 통한, 박사님, 세계","미디어의, 마인어과, 동남아연구소, 국제지역대학원, 종교와, 인도네시아, 인도아세안, 특강을, 시장, 방송"
51부터 접수시작 2023 상반기 금융권 취업 모의면접,교육특강,학부KFL학부,"상반기 금융권 취업 인성면접, PT면접 대비","     필독
   각 조 3명으로 소규모 모의면접 프로그램입니다 
신청 전에 개인 스케줄 확인 바랍니다 
 신청 후 불참 시 다른 친구들의 기회가 사라집니다
물론 신청 후 최종합격으로 불참은 축하드립니다
연락만 주시면 대기자에게 기회를  
 문의  0221732145 ",단과대학 ,전체,전체,25,50,0,25,0,0,"인성면접, pt면접, 금융권, 상반기, 대비, 취업","신청, 축하드립니다, 모의면접, 친구들의, 사라집니다, 프로그램입니다, 바랍니다, 주시면, 문의, 연락만"
HUFStory 도서관 북토크  최승필 교수,-,-,"외대 교수, 동문 저자와의 양방향 북토크를 통해 독서 흥미를 고취하고, 작가와 도서, 연관 지식 정보에 대한 분석적 독서 활동을 할 수 있다.","1 행사명  제3회 HUFStory 도서관 북토크
 2 연사  법학전문대학원 최승필 교수
 3 일시  5월 10일 수요일 1500  1630
 4 장소  한국외국어대학교 서울캠퍼스 도서관 로비 라운지
 5 주제  법의 균형
 6 진행일정
   사전신청 접수  5월 1일 월요일  5월 10일 화요일
   북토크 및 질의응답 친필 저서 증정 이벤트 기념촬영 및 폐회로 진행됩니다
 7 비교과 프로그램 수료 관련
   공간에 따라 현장 참여가 가능하며 참여 명단에 서명한 경우에 한하여 비교과 프로그램 수료로 인정됩니다
   이외 로비 공간에서 자유로운 참여가 가능하지만 참여 명단에 서명하지 않은 경우에는 비교과 프로그램 수료로는 인정되지 않습니다
   좌석은 사전신청 여부 및 당일 입장 순서를 우선하되 자율 배석입니다
 8 문의  0221732467 또는 dysonghufsackr
 ",단과대학 ,전체,전체,25,0,0,25,25,25,"저자와의, 분석적, 동문, 활동을, 북토크를, 정보에, 통해, 독서, 연관, 작가와","진행일정, 서울캠퍼스, 사전신청, 서명하지, 법학전문대학원, 질의응답, 균형, 북토크, 서명한, 기념촬영"
20231 오프라인 학습법특강 Chat GPT의 학습활용서울캠퍼스 대학원,교육특강,학부KFL학부,입력 예정, ,단과대학 ,전체,전체,25,25,0,50,0,0,"입력, 예정",
20231 오프라인 학습법특강 Chat GPT의 학습활용글로벌캠퍼스 백년관,교육특강,학부KFL학부,입력 예정, ,단과대학 ,전체,전체,25,25,0,50,0,0,"입력, 예정",
도서관 이용자교육_레포트 작성법 5월,교육특강,학부,과제수행시 계획수립에서 마무리까지의 과정에서 고려해야 할 내용을 살펴보고 A+레포트작성에 기여하고자 함.,"도서관 홈페이지를 통해 별도 신청하지 않아도 신청가능하며
교육당일 오전에 이메일과 문자로 Webex 참여URL을 발송해 드립니다
많은 신청 바랍니다
 ",단과대학 ,재학 휴학 수료 ,1학년 2학년 3학년 4학년 ,50,25,0,25,0,0,"레포트작성에, 과제수행시, 과정에서, 기여하고자, 살펴보고, 내용을, 마무리까지의, 고려해야, 계획수립에서","webex, 신청가능하며, 바랍니다, 드립니다, 이메일과, 신청하지, 교육당일, 발송해, 오전에, 참여url을"
공부하면서 나 만나기학습동기강화 집단상담,워크숍,학부KFL학부,"현재 학습방법의 장/단점을 평가하고, 성겨특성에 맞는 학습전략을 찾는다.", ,단과대학 대학원 ,재학 휴학 수료 ,전체,25,50,25,0,0,0,"성겨특성에, 학습방법의, 평가하고, 현재, 단점을, 학습전략을, 찾는다, 맞는",
HUFS English Writing Tutoring 5월 2주차 58514,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,"    20231학기 HUFS ENGLISH Writing Tutoring
  튜터링 분야 
 수강과목과 연계된 영어 글쓰기 보고서 발표문 등
 학술적 글쓰기 학술지 논문 초록 등
 그 외 영문 자기소개서 이력서 일기 등 주제 및 형식 무관
 초급자 환영
  진행 방법  50분간 실시간 온라인 11 튜터링
  신청 방법  HUFSAbility 로그인  HUFS Writing Tutoring
 실시간 튜터링 분반정보 확인  주차별 가능한 스케줄 신청
 글쓰기 공유 신청내역과제란에 글쓰기 파일 업로드 필수
   유의사항 신청 전 꼭 읽어주세요
  당일 신청은 불가합니다 신청은 튜터링 진행일 최소 48시간 전까지는 완료해주시기 바랍니다
  첨삭을 원하는 파일과제은 튜터링 진행 시간 48시간 전 제출해야합니다
미제출 또는 튜터링 시간에 임박하여 제출 시 불합격 상태로 전환되어 튜터링 진행이 어려우니 신청내역 페이지를 확인하여 주시기 바랍니다 
HUFSAbility 비교과프로그램 신청내역 과제제출란에 업로드
  신청시 입력사항 프로그램 참여시 중점적으로 튜터링을 받고 싶은 점 eg 문법적인 부분 내용적인 첨삭 등에 대해 사전에 작성해주시기 바랍니다
  신청 후 담당 튜터 선생님 확인 후 합격 상태가 되어야 과제 제출란이 활성화됩니다
수일 이내로 확인할 예정이오니 반드시 신청 후 과제 제출란에 첨삭물을 제출하여 주시기 바랍니다 
  코로나 상황으로 온라인을 통한 실시간 튜터링을 원칙으로 합니다
신청자에게는 따로 이메일학교에 등록되어 있는 메일 주소 또는 문자로 안내 연락이 갈 예정입니다 
  신청 취소는 최소 하루 전까지만 가능합니다 
  노쇼 발생 시 차후 교내에서 진행하는 비교과 프로그램 참여가 불가합니다 HUFSAbility 비교과 프로그램 신청 제한 
참여하지 못할 경우 반드시 사전에 알려주시기 바랍니다
    프로그램 안내 및 취소 문의  교수학습개발부 0221732761",단과대학 대학원 ,재학 휴학 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의","완료해주시기, 유의사항, 작성해주시기, 신청자에게는, 내용적인, 튜터링을, 상황으로, 수강과목과, 신청은, 과제제출란에"
진로선택을 위한 자기이해 집단상담,워크숍,학부KFL학부,적성탐색검사를 통해 자신과 직업세계에 대한 이해를 높이고 이를 바탕으로 진로선택을 함께 고민해보기, ,단과대학 대학원 ,재학 휴학 수료 ,전체,0,50,25,0,25,0,"적성탐색검사를, 진로선택을, 고민해보기, 바탕으로, 통해, 자신과, 이해를, 대한, 이를, 함께",
HUFS English Writing Tutoring 5월 1주차 5157,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,"    20231학기 HUFS ENGLISH Writing Tutoring
  튜터링 분야 
 수강과목과 연계된 영어 글쓰기 보고서 발표문 등
 학술적 글쓰기 학술지 논문 초록 등
 그 외 영문 자기소개서 이력서 일기 등 주제 및 형식 무관
 초급자 환영
  진행 방법  50분간 실시간 온라인 11 튜터링
  신청 방법  HUFSAbility 로그인  HUFS Writing Tutoring
 실시간 튜터링 분반정보 확인  주차별 가능한 스케줄 신청
 글쓰기 공유 신청내역과제란에 글쓰기 파일 업로드 필수
   유의사항 신청 전 꼭 읽어주세요
  당일 신청은 불가합니다 신청은 튜터링 진행일 최소 48시간 전까지는 완료해주시기 바랍니다
  첨삭을 원하는 파일과제은 튜터링 진행 시간 48시간 전 제출해야합니다
미제출 또는 튜터링 시간에 임박하여 제출 시 불합격 상태로 전환되어 튜터링 진행이 어려우니 신청내역 페이지를 확인하여 주시기 바랍니다 
HUFSAbility 비교과프로그램 신청내역 과제제출란에 업로드
  신청시 입력사항 프로그램 참여시 중점적으로 튜터링을 받고 싶은 점 eg 문법적인 부분 내용적인 첨삭 등에 대해 사전에 작성해주시기 바랍니다
  신청 후 담당 튜터 선생님 확인 후 합격 상태가 되어야 과제 제출란이 활성화됩니다
수일 이내로 확인할 예정이오니 반드시 신청 후 과제 제출란에 첨삭물을 제출하여 주시기 바랍니다 
  코로나 상황으로 온라인을 통한 실시간 튜터링을 원칙으로 합니다
신청자에게는 따로 이메일학교에 등록되어 있는 메일 주소 또는 문자로 안내 연락이 갈 예정입니다 
  신청 취소는 최소 하루 전까지만 가능합니다 
  노쇼 발생 시 차후 교내에서 진행하는 비교과 프로그램 참여가 불가합니다 HUFSAbility 비교과 프로그램 신청 제한 
참여하지 못할 경우 반드시 사전에 알려주시기 바랍니다
    프로그램 안내 및 취소 문의  교수학습개발부 0221732761",단과대학 대학원 ,재학 휴학 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의","완료해주시기, 유의사항, 작성해주시기, 신청자에게는, 내용적인, 튜터링을, 상황으로, 수강과목과, 신청은, 과제제출란에"
20231 온라인 학습법특강 창의 융합형 인재가 되기 위한 대학생활 비전 설계,교육특강,학부KFL학부,나만의 목표 설정하기/비전과 미션 정하기/목표성취를 위한 실천계획 세우기,  ,단과대학 ,전체,전체,25,25,0,50,0,0,"설정하기, 정하기, 비전과, 미션, 세우기, 목표, 나만의, 실천계획, 목표성취를, 위한",
20231 온라인 학습법특강 창의적 A 리포트 작성법,교육특강,학부KFL학부,대학 수업에서 보고서란?/논리적인 글쓰기 방법/A+ 보고서 작성 전략/자료수집 방법/참고문헌 작성법,  ,단과대학 ,전체,전체,25,25,0,50,0,0,"글쓰기, 작성법, 방법, 수업에서, 논리적인, 자료수집, 보고서란, 작성, 보고서, 참고문헌",
